Date,Amount,Description,Category
16/12/2025,-12.5,GrabFood Delivery,Food & Dining
16/12/2025,-4.8,Toast Box - ION Orchard,Food & Dining
15/12/2025,-88.9,NTUC FairPrice Finest,Groceries
15/12/2025,300,PAYNOW RECEIVED FROM JOHN TAN,Income
14/12/2025,-16,SMRT Corporation Ltd,Transport
14/12/2025,-120,Dec 2025 Singtel Postpaid Bill,Utilities
13/12/2025,-4.5,7-Eleven - Tampines Hub,Miscellaneous
13/12/2025,-25,GYM MEMBERSHIP FEE PULL,Health & Fitness
12/12/2025,-35,ComfortDelGro Taxi Booking,Transport
12/12/2025,-12.9,Netflix Subscription Charge,Subscriptions
11/12/2025,-150,Great Eastern Monthly Insurance,Insurance
11/12/2025,-6.2,Starbucks - Raffles Place,Food & Dining
10/12/2025,-75,SHOPEE SG ORDER #849302,Shopping
10/12/2025,-4.8,Old Chang Kee - Junction 8,Food & Dining
9/12/2025,5000,PAYROLL DEPOSIT ACME CORP,Income
9/12/2025,-1200,UOB Housing Loan Payment,Housing
8/12/2025,-25,Capitaland Mall Voucher Purchase,Miscellaneous
8/12/2025,-12.5,EZ-Link Card Top-up,Transport
7/12/2025,-35,Cineplex - New Movie,Entertainment
7/12/2025,-65,Daiso Megastore Purchase,Shopping
6/12/2025,-15,Grab Ride - To Changi,Transport
6/12/2025,-180,SP Services Utilities Bill,Utilities
5/12/2025,-2.5,Kopitiam - Hawker Centre,Food & Dining
5/12/2025,-12,Spotify Premium Monthly,Subscriptions
4/12/2025,-500,CPF Voluntary Contribution,Savings & Investment
4/12/2025,-28,Watsons Pharmacy Purchase,Health & Fitness
3/12/2025,-18,Sheng Siong Supermarket,Groceries
3/12/2025,120,Received from Jane - Split bill,Income
2/12/2025,-12,Subway - Lunch Break,Food & Dining
2/12/2025,-19.9,Disney+ Hotstar Subscription,Subscriptions
1/12/2025,-60,Esso Station - Fuel,Transport
1/12/2025,-700,DBS Car Loan Payment,Transport
30/11/2025,-38,Cold Storage Singapore,Groceries
30/11/2025,-15,Deliveroo Order,Food & Dining
29/11/2025,-15,SMRT BUS FARE,Transport
29/11/2025,-300,AIA Insurance Premium,Insurance
28/11/2025,-12.5,Koufu Food Court,Food & Dining
28/11/2025,-450,Singapore Power Services,Utilities
27/11/2025,-5,FairPrice Express,Groceries
27/11/2025,1000,Transfer from Savings Account,Transfer
26/11/2025,-180,Amazon SG Purchase,Shopping
26/11/2025,-18,G-Shock Store Purchase,Shopping
25/11/2025,-22.5,Gojek Ride,Transport
25/11/2025,-15,Cathay Cineplexes,Entertainment
24/11/2025,-12,YouTube Premium Monthly,Subscriptions
24/11/2025,-250,Rental Deposit Payment,Housing
23/11/2025,-120,StarHub Mobile Bill,Utilities
23/11/2025,-4,Ya Kun Kaya Toast,Food & Dining
22/11/2025,-55,Watson's Drugstore,Health & Fitness
22/11/2025,-12,NTUC FairPrice - Lunch,Groceries
21/11/2025,-6.5,Boost Juice Bar,Food & Dining
21/11/2025,-150,Prudential Term Life,Insurance
20/11/2025,-30,Sentosa Entry Fee,Entertainment
20/11/2025,250,Divend Received from Unit Trust,Savings & Investment
19/11/2025,-15,NETS Payment - Hawker,Food & Dining
19/11/2025,-45,Zalora SG Order,Shopping
18/11/2025,-10,McDonald's - Ang Mo Kio,Food & Dining
18/11/2025,-120,Singtel Mobile Renewal,Utilities
17/11/2025,-50,Fitness First Class Fee,Health & Fitness
17/11/2025,-15,EZ-Link top-up,Transport
16/11/2025,-1500,OCBC Mortgage Payment,Housing
16/11/2025,-15,Burger King - Dinner,Food & Dining
15/11/2025,-2.5,Vending Machine Snack,Miscellaneous
15/11/2025,-30,SHELL PETROL STATION,Transport
14/11/2025,-12,HBO Go Subscription,Subscriptions
14/11/2025,-15,LTA ERP Charge,Transport
13/11/2025,-88,SISTIC Ticket Purchase,Entertainment
13/11/2025,-12,Food Republic Food Court,Food & Dining
12/11/2025,-30,Unity Pharmacy Purchase,Health & Fitness
12/11/2025,250,Transfer from Joint Account,Transfer
11/11/2025,-150,Vanguard Fund Purchase,Savings & Investment
11/11/2025,-5.5,Mr Bean - Soy Milk,Food & Dining
10/11/2025,-50,Singtel WiFi Monthly Fee,Utilities
10/11/2025,-15,Grab Ride - Office Trip,Transport
9/11/2025,-12,Prime Supermarket,Groceries
9/11/2025,-50,IKEA Singapore Purchase,Shopping
8/11/2025,-15,Subway SG,Food & Dining
8/11/2025,-12,Apple Music Subscription,Subscriptions
7/11/2025,-120,Prudential Insurance P-PAY,Insurance
7/11/2025,-15,LTA ERP Payment,Transport
6/11/2025,-1200,HDB Housing Loan Dec 2025,Housing
6/11/2025,-12,Food Republic,Food & Dining
5/11/2025,-25,Decathlon SG Purchase,Shopping
5/11/2025,-15,Gojek Ride to Sentosa,Transport
4/11/2025,-50,Golden Village Cinemas,Entertainment
4/11/2025,50,CASH DEPOSIT ATM,Income
3/11/2025,-12,Carpark Charges - Wilson,Transport
3/11/2025,-18,The Body Shop,Shopping
2/11/2025,-12,Singtel Broadband Bill,Utilities
2/11/2025,-45,GrabFood - Thai Cuisine,Food & Dining
1/11/2025,-15,SMRT Corporation Payment,Transport
1/11/2025,-150,AXA Insurance Annual Fee,Insurance
31/10/2025,-5,Cheers Convenience Store,Miscellaneous
31/10/2025,-12,OCBC Investment Account Purchase,Savings & Investment
30/10/2025,-75,Guardian Pharmacy Purchase,Health & Fitness
30/10/2025,-12,McDonald's - Dinner,Food & Dining
29/10/2025,-12,Disney+ Monthly,Subscriptions
29/10/2025,-12.5,Koufu Food Court,Food & Dining
28/10/2025,-150,StarHub TV Package,Utilities
28/10/2025,-12,Grab Ride,Transport
27/10/2025,-12,Cold Storage Singapore,Groceries
27/10/2025,100,PAYNOW RECEIVED,Income
26/10/2025,-15,Food Republic,Food & Dining
26/10/2025,-45,UNIQLO Singapore,Shopping
25/10/2025,-15,Bus Fare - SMRT,Transport
25/10/2025,-12,YouTube Premium,Subscriptions
24/10/2025,-1200,Rent Payment - Nov 2025,Housing
24/10/2025,-12,Tiong Bahru Bakery,Food & Dining
23/10/2025,-12,Singapore Power Services,Utilities
23/10/2025,-15,Grab Taxi,Transport
22/10/2025,-5,FairPrice Express,Groceries
22/10/2025,-15,Golden Village Cinemas,Entertainment
21/10/2025,-12,StarHub Mobile Bill,Utilities
21/10/2025,-15,GrabFood - Pizza,Food & Dining
20/10/2025,-150,AIA Insurance Premium,Insurance
20/10/2025,-12,Sheng Siong Supermarket,Groceries
19/10/2025,-12,Transport - MRT,Transport
19/10/2025,-15,Lazada SG Order,Shopping
18/10/2025,-12,Toast Box - Breakfast,Food & Dining
18/10/2025,-12,Spotify Premium,Subscriptions
17/10/2025,-150,Gym Membership,Health & Fitness
17/10/2025,-12,Cold Storage,Groceries
16/10/2025,-12,Gojek Ride,Transport
16/10/2025,500,Investment Sale Proceeds,Savings & Investment
15/10/2025,-12,Deliveroo Order,Food & Dining
15/10/2025,-12,Singtel Fibre Broadband,Utilities
14/10/2025,-12,NTUC FairPrice,Groceries
14/10/2025,-15,Golden Village Cinema,Entertainment
13/10/2025,-12,UOB Car Loan Payment,Transport
13/10/2025,-12,Starbucks,Food & Dining
12/10/2025,-12,AIA Insurance,Insurance
12/10/2025,-12,Carpark Charges - HDB,Transport
11/10/2025,-12,SingPost Mail Service,Miscellaneous
11/10/2025,-12,Taka Retail Purchase,Shopping
10/10/2025,-12,Koufu Food Court,Food & Dining
10/10/2025,-12,Disney+ Hotstar,Subscriptions
9/10/2025,-12,PUB Water/Gas Bill,Utilities
9/10/2025,-12,EZ-Link top-up,Transport
8/10/2025,-12,Cold Storage,Groceries
8/10/2025,-12,Watsons,Health & Fitness
7/10/2025,-12,Grab Ride,Transport
7/10/2025,-12,McDonald's,Food & Dining
6/10/2025,-12,NETS Payment - Hawker,Food & Dining
6/10/2025,-12,StarHub Bill,Utilities
5/10/2025,-12,NTUC FairPrice,Groceries
5/10/2025,-12,TGV Cinemas,Entertainment
4/10/2025,-12,Gojek,Transport
4/10/2025,-12,UNIQLO,Shopping
3/10/2025,-12,Spotify,Subscriptions
3/10/2025,-12,DBS Home Loan,Housing
2/10/2025,-12,Sheng Siong,Groceries
2/10/2025,-12,Food Republic,Food & Dining
1/10/2025,-12,LTA ERP Charge,Transport
1/10/2025,-12,AIA Insurance,Insurance
30/9/2025,-12,EZ-Link top-up,Transport
30/9/2025,-12,Starbucks,Food & Dining
29/9/2025,-12,Singtel Mobile,Utilities
29/9/2025,-12,Cold Storage,Groceries
28/9/2025,-12,GrabFood,Food & Dining
28/9/2025,-12,Decathlon,Shopping
27/9/2025,-12,YouTube Premium,Subscriptions
27/9/2025,-12,Carpark Charges,Transport
26/9/2025,-12,NTUC FairPrice,Groceries
26/9/2025,-12,Golden Village,Entertainment
25/9/2025,-12,UBER Ride,Transport
25/9/2025,-12,Prudential Insurance,Insurance
24/9/2025,-12,Koufu,Food & Dining
24/9/2025,-12,SP Services,Utilities
23/9/2025,-12,Sheng Siong,Groceries
23/9/2025,-12,Watsons,Health & Fitness
22/9/2025,-12,Deliveroo,Food & Dining
22/9/2025,-12,Netflix,Subscriptions
21/9/2025,-12,MRT Fare,Transport
21/9/2025,-12,Taka Retail,Shopping
20/9/2025,-12,Toast Box,Food & Dining
20/9/2025,-12,DBS Home Loan,Housing
19/9/2025,-12,Singtel Bill,Utilities
19/9/2025,-12,AIA Insurance,Insurance
18/9/2025,-12,Cold Storage,Groceries
18/9/2025,-12,Grab Ride,Transport
17/9/2025,-12,McDonald's,Food & Dining
17/9/2025,-12,Carpark Charges,Transport
16/9/2025,-12,NTUC FairPrice,Groceries
16/9/2025,-12,Golden Village,Entertainment
15/9/2025,-12,Gojek,Transport
15/9/2025,-12,UNIQLO,Shopping
14/9/2025,-12,Spotify,Subscriptions
14/9/2025,-12,UOB Car Loan,Transport
13/9/2025,-12,Sheng Siong,Groceries
13/9/2025,-12,Food Republic,Food & Dining
12/9/2025,-12,LTA ERP,Transport
12/9/2025,-12,AIA Insurance,Insurance
11/9/2025,-12,EZ-Link top-up,Transport
11/9/2025,-12,Starbucks,Food & Dining
10/9/2025,-12,Singtel Mobile,Utilities
10/9/2025,-12,Cold Storage,Groceries
9/9/2025,-12,GrabFood,Food & Dining
9/9/2025,-12,Lazada SG,Shopping
8/9/2025,-12,YouTube Premium,Subscriptions
8/9/2025,-12,Carpark Charges,Transport
7/9/2025,-12,NTUC FairPrice,Groceries
7/9/2025,-12,Golden Village,Entertainment
6/9/2025,-12,UBER Ride,Transport
6/9/2025,-12,Prudential Insurance,Insurance
5/9/2025,-12,Koufu,Food & Dining
5/9/2025,-12,SP Services,Utilities
4/9/2025,-12,Sheng Siong,Groceries
4/9/2025,-12,Guardian,Health & Fitness
3/9/2025,-12,Deliveroo,Food & Dining
3/9/2025,-12,Netflix,Subscriptions
2/9/2025,-12,MRT Fare,Transport
2/9/2025,-12,UNIQLO,Shopping
1/9/2025,-12,Toast Box,Food & Dining
1/9/2025,-12,DBS Home Loan,Housing
31/8/2025,-12,Singtel Bill,Utilities
31/8/2025,-12,AIA Insurance,Insurance
30/8/2025,-12,Cold Storage,Groceries
30/8/2025,-12,Grab Ride,Transport
29/8/2025,-12,McDonald's,Food & Dining
29/8/2025,-12,Carpark Charges,Transport
28/8/2025,-12,NTUC FairPrice,Groceries
28/8/2025,-12,Golden Village,Entertainment
27/8/2025,-12,Gojek,Transport
27/8/2025,-12,Taka Retail,Shopping
26/8/2025,-12,Spotify,Subscriptions
26/8/2025,-12,UOB Car Loan,Transport
25/8/2025,-12,Sheng Siong,Groceries
25/8/2025,-12,Food Republic,Food & Dining
24/8/2025,-12,LTA ERP,Transport
24/8/2025,-12,AIA Insurance,Insurance
23/8/2025,-12,EZ-Link top-up,Transport
23/8/2025,-12,Starbucks,Food & Dining
22/8/2025,-12,Singtel Mobile,Utilities
22/8/2025,-12,Cold Storage,Groceries
21/8/2025,-205,Ticketmaster Event Fee,Entertainment
17/8/2025,-4.0,DAISO $2 STORE,Miscellaneous
17/8/2025,-18.5,CATHAY CINEPLEXES TICKET,Entertainment
17/8/2025,50.0,CASH DEPOSIT ATM UOB,Miscellaneous
16/8/2025,-35.0,ANYTIME FITNESS MONTHLY,Health & Fitness
16/8/2025,-12.0,WATSONS PHARMACY PURCHASE,Health & Fitness
13/8/2025,-88.0,CAROUSELL PAYMENT TO JANE,Shopping
13/8/2025,-50.0,IKEA ALEXANDRA - TABLE,Shopping
11/8/2025,-12.0,SINGPOST PACKAGE SHIPPING,Miscellaneous
10/8/2025,-22.0,GRABUNLIMITED SUBSCRIPTION,Subscriptions
10/8/20257,-10.99,AMAZON PRIME VIDEO RENTAL,Entertainment
10/8/2025,-12.0,BUS 980 FARE,Transport
10/8/2025,-250.0,KID'S TUITON FEE LEARNING,Miscellaneous
10/8/2025,-5.0,7-ELEVEN - ORCHARD,Food & Dining
10/8/2025,-12.0,PETROL ESSO,Transport
10/8/2025,-90.0,PARKWAY DENTAL CLINIC,Health & Fitness